samples	Chalky_grain_percentage
ZJM81	14.38
ZJM84	17.89
ZJM85	18.0
ZJM87	10.0
ZJM88	12.93
ZJM96	34.94
ZJM98	21.85
ZJM100	8.8
ZJM103	10.93
ZJM109	56.92
ZJM112	7.89
ZJM114	23.78
ZJM119	22.49
ZJM124	71.09
ZJM125	46.24
ZJM129	22.84
ZJM133	42.08
ZJM135	63.33
ZJM137	87.5
ZJM139	50.73
ZJM140	35.4
ZJM143	71.35
ZJM144	32.21
ZJM146	38.57
ZJM149	9.89
ZJM152	42.54
ZJM153	44.5
ZJM155	40.41
ZJM159	34.38
ZJM161	30.0
ZJM164	59.78
ZJM165	54.55
ZJM166	42.22
ZJM167	81.22
ZJM170	46.81
ZJM171	15.68
ZJM172	25.61
ZJM174	68.21
ZJM187	25.48
ZJM188	67.11
ZJM189	50.34
ZJM190	40.76
ZJM193	28.57
ZJM194	5.19
ZJM199	8.75
ZJM204	46.25
ZJM207	35.87
ZJM208	51.08
ZJM209	21.2
ZJM214	32.02
ZJM217	51.11
ZJM220	48.05
ZJM221	48.54
ZJM222	31.33
ZJM223	36.09
ZJM224	38.95
ZJM225	37.5
ZJM231	44.76
ZJM235	35.11
ZJM236	62.04
ZJM237	43.16
ZJM243	35.79
ZJM249	24.76
ZJM251	27.71
ZJM253	15.63
ZJM258	44.51
ZJM265	82.23
ZJM266	31.56
ZJM267	47.34
ZJM268	57.2
ZJM270	29.02
ZJM271	15.38
ZJM272	43.48
ZJM273	45.97
ZJM275	49.38
ZJM276	50.89
ZJM277	38.07
ZJM278	14.47
ZJM282	32.78
ZJM285	11.24
ZJM292	49.18
ZJM294	24.23
ZJM296	22.73
ZJM299	23.74
ZJM303	21.43
ZJM304	11.31
ZJM309	29.61
ZJM311	43.43
ZJM314	46.78
ZJM317	33.16
ZJM318	50.34
ZJM319	54.0
ZJM325	21.98
ZJM326	59.06
ZJM327	26.94
ZJM328	24.6
ZJM329	16.56
ZJM331	42.42
ZJM334	29.29
ZJM341	31.11
ZJM343	25.0
ZJM346	30.0
ZJM350	38.42
ZJM358	64.14
ZJM360	47.22
ZJM361	49.36
ZJM367	31.9
ZJM464	34.92
ZJM469	30.88
ZJM470	35.37
ZJM472	36.67
ZJM476	44.56
ZJM477	44.44
ZJM479	37.19
ZJM480	46.99
ZJM484	23.68
ZJM488	58.89
ZJM489	34.19
ZJM490	31.72
ZJM491	31.79
ZJM492	37.5
ZJM493	18.12
ZJM494	15.27
ZJM496	51.78
ZJM497	16.24
ZJM499	54.3
ZJM500	20.61
ZJM501	26.09
ZJM502	38.59
ZJM503	20.33
ZJM504	12.26
ZJM505	28.43
ZJM507	13.81
ZJM508	9.89
ZJM511	19.91
ZJM512	52.86
ZJM515	18.97
ZJM516	30.49
ZJM517	14.29
ZJM520	16.0
ZJM522	8.43
ZJM524	22.97
ZJM526	31.6
ZJM527	23.76
ZJM529	52.51
ZJM531	51.99
ZJM532	32.41
ZJM534	69.26
ZJM535	58.78
ZJM536	7.51
ZJM537	78.98
ZJM538	40.0
ZJM543	56.29
ZJM544	28.95
ZJM545	11.04
ZJM546	41.29
ZJM549	13.08
ZJM551	18.85
ZJM553	9.54
ZJM555	8.96
ZJM559	37.29
ZJM562	20.37
ZJM567	27.0
ZJM569	20.77
ZJM570	22.75
ZJM571	36.36
ZJM572	32.86
ZJM574	29.6
ZJM581	21.09
ZJM582	48.15
ZJM585	59.49
ZJM586	52.99
ZJM588	29.32
ZJM589	23.91
ZJM591	61.83
ZJM593	39.44
ZJM595	17.38
ZJM601	18.42
ZJM603	46.73
ZJM604	31.09
ZJM606	19.65
ZJM612	25.83
ZJM613	35.94
ZJM615	99.65
ZJM619	41.28
ZJM620	15.65
ZJM622	53.76
ZJM623	13.81
ZJM625	30.91
ZJM627	28.65
ZJM629	36.36
ZJM630	100.0
ZJM631	27.07
ZJM632	17.32
ZJM633	12.43
ZJM636	35.15
ZJM642	22.43
ZJM644	34.29
ZJM647	15.05
ZJM662	51.16
ZJM663	30.1
ZJM668	23.18
ZJM670	14.24
ZJM672	9.92
ZJM673	17.95
ZJM674	13.33
ZJM676	41.73
ZJM680	33.33
ZJM681	17.07
