samples	Full_grain_number_per_panicle
ZJM81	137.07
ZJM84	147.37
ZJM85	173.43
ZJM87	217.71
ZJM88	149.02
ZJM96	110.44
ZJM98	169.51
ZJM100	141.67
ZJM103	172.79
ZJM109	175.99
ZJM112	201.36
ZJM114	177.6
ZJM119	195.29
ZJM124	156.66
ZJM125	198.39
ZJM129	188.29
ZJM133	197.45
ZJM135	126.02
ZJM137	167.31
ZJM139	171.68
ZJM140	183.18
ZJM143	250.26
ZJM144	184.94
ZJM146	136.83
ZJM149	180.59
ZJM152	155.67
ZJM153	228.06
ZJM155	141.5
ZJM159	159.5
ZJM161	168.43
ZJM164	210.21
ZJM165	135.53
ZJM166	164.94
ZJM167	214.29
ZJM170	123.84
ZJM171	111.98
ZJM172	135.91
ZJM174	133.21
ZJM187	174.51
ZJM188	119.62
ZJM189	131.29
ZJM190	139.21
ZJM193	125.6
ZJM194	119.02
ZJM199	176.9
ZJM204	162.28
ZJM207	174.99
ZJM208	176.79
ZJM209	131.01
ZJM214	154.12
ZJM217	144.99
ZJM220	200.05
ZJM221	225.68
ZJM222	197.53
ZJM223	148.66
ZJM224	167.37
ZJM225	140.67
ZJM231	186.16
ZJM235	206.92
ZJM236	208.32
ZJM237	185.47
ZJM243	185.29
ZJM249	184.48
ZJM251	230.7
ZJM253	197.98
ZJM258	259.88
ZJM265	164.97
ZJM266	194.45
ZJM267	201.05
ZJM268	147.49
ZJM270	180.77
ZJM271	180.28
ZJM272	160.77
ZJM273	175.32
ZJM275	187.66
ZJM276	135.44
ZJM277	168.65
ZJM278	125.42
ZJM282	120.27
ZJM285	164.17
ZJM292	123.38
ZJM294	200.51
ZJM296	137.58
ZJM299	159.02
ZJM303	118.76
ZJM304	170.56
ZJM309	147.79
ZJM311	149.0
ZJM314	122.9
ZJM317	164.46
ZJM318	104.02
ZJM319	133.44
ZJM325	220.41
ZJM326	161.0
ZJM327	186.25
ZJM328	163.46
ZJM329	194.04
ZJM331	169.76
ZJM334	166.62
ZJM341	148.79
ZJM343	175.51
ZJM346	146.51
ZJM350	163.75
ZJM358	190.71
ZJM360	171.81
ZJM361	149.36
ZJM367	227.23
ZJM464	139.48
ZJM469	225.86
ZJM470	206.76
ZJM472	171.13
ZJM476	142.88
ZJM477	140.66
ZJM479	164.5
ZJM480	177.04
ZJM484	176.35
ZJM488	111.86
ZJM489	127.31
ZJM490	102.89
ZJM491	133.31
ZJM492	123.84
ZJM493	93.2
ZJM494	120.38
ZJM496	103.82
ZJM497	181.1
ZJM499	127.4
ZJM500	147.96
ZJM501	154.72
ZJM502	120.96
ZJM503	178.2
ZJM504	184.35
ZJM505	180.94
ZJM507	212.8
ZJM508	185.38
ZJM511	172.64
ZJM512	192.37
ZJM515	146.41
ZJM516	247.3
ZJM517	238.0
ZJM520	191.67
ZJM522	219.23
ZJM524	162.53
ZJM526	225.21
ZJM527	218.73
ZJM529	209.39
ZJM531	245.84
ZJM532	183.59
ZJM534	153.83
ZJM535	164.5
ZJM536	184.67
ZJM537	256.46
ZJM538	149.87
ZJM543	193.36
ZJM544	216.24
ZJM545	77.58
ZJM546	165.43
ZJM549	219.48
ZJM551	285.79
ZJM553	157.23
ZJM555	268.53
ZJM559	163.13
ZJM562	172.25
ZJM567	201.58
ZJM569	135.4
ZJM570	128.8
ZJM571	152.79
ZJM572	195.99
ZJM574	135.79
ZJM581	216.37
ZJM582	155.34
ZJM585	149.94
ZJM586	139.54
ZJM588	104.6
ZJM589	195.64
ZJM591	146.15
ZJM593	185.9
ZJM595	216.96
ZJM601	236.74
ZJM603	135.26
ZJM604	100.99
ZJM606	250.38
ZJM612	188.23
ZJM613	104.02
ZJM615	228.75
ZJM619	157.5
ZJM620	234.6
ZJM622	136.65
ZJM623	246.82
ZJM625	130.91
ZJM627	235.53
ZJM629	202.94
ZJM630	213.04
ZJM631	187.78
ZJM632	208.18
ZJM633	259.9
ZJM636	141.53
ZJM642	207.43
ZJM644	213.6
ZJM647	172.42
ZJM662	126.58
ZJM663	135.95
ZJM668	217.09
ZJM670	147.11
ZJM672	112.13
ZJM673	108.39
ZJM674	112.15
ZJM676	125.35
ZJM680	110.35
ZJM681	180.33
ZJM682	150.6
ZJM683	234.2
ZJM684	224.8
ZJM686	159.48
ZJM692	100.06
ZJM693	118.29
ZJM695	190.88
ZJM696	177.94
ZJM697	242.1
ZJM701	265.86
ZJM705	275.07
ZJM707	169.13
ZJM709	181.32
ZJM710	174.17
ZJM711	188.61
ZJM713	124.6
ZJM714	147.42
ZJM715	169.78
ZJM716	87.34
ZJM718	100.07
ZJM719	170.32
ZJM720	199.6
ZJM721	115.97
ZJM722	206.86
ZJM725	192.36
ZJM728	163.6
ZJM729	155.71
ZJM731	194.69
ZJM732	229.14
ZJM734	147.73
ZJM740	151.69
ZJM741	172.26
ZJM745	202.79
ZJM750	233.15
ZJM753	215.95
ZJM756	245.08
ZJM758	201.04
ZJM762	234.64
ZJM765	225.51
ZJM767	199.59
ZJM773	178.08
ZJM776	267.77
ZJM779	240.79
ZJM782	141.8
ZJM786	156.35
ZJM787	236.07
ZJM788	199.73
ZJM791	240.33
ZJM792	213.34
ZJM793	192.48
ZJM796	160.25
ZJM797	213.74
ZJM801	148.27
ZJM802	138.01
ZJM806	185.35
ZJM810	222.74
ZJM811	211.85
ZJM812	196.34
ZJM814	240.57
ZJM815	257.13
ZJM816	251.39
ZJM825	235.69
ZJM826	148.08
ZJM829	172.38
ZJM830	247.73
ZJM834	153.33
ZJM845	191.54
ZJM847	187.06
ZJM851	179.95
ZJM853	136.49
ZJM854	226.82
ZJM856	200.66
ZJM857	263.05
ZJM866	216.86
ZJM867	188.23
ZJM869	180.3
ZJM874	141.67
ZJM875	221.09
ZJM880	192.29
ZJM881	253.87
ZJM883	221.92
ZJM884	164.9
ZJM885	166.59
ZJM886	208.76
ZJM889	193.71
ZJM894	188.87
ZJM897	141.56
ZJM898	156.3
ZJM899	227.19
ZJM900	115.26
ZJM901	140.58
ZJM903	174.02
ZJM904	220.25
ZJM905	187.91
ZJM908	184.94
ZJM909	106.19
ZJM910	112.34
ZJM912	211.47
ZJM915	90.91
ZJM919	216.36
ZJM921	198.04
ZJM926	140.4
ZJM932	109.15
ZJM934	126.1
ZJM940	217.09
ZJM941	269.48
ZJM946	155.97
ZJM948	179.8
ZJM950	165.81
ZJM951	233.03
ZJM955	139.18
ZJM960	124.57
ZJM962	161.91
ZJM963	149.28
ZJM965	159.07
ZJM966	314.83
ZJM967	146.47
ZJM971	196.5
ZJM972	106.79
ZJM973	225.8
ZJM975	227.08
ZJM977	146.32
ZJM978	137.33
ZJM983	142.27
ZJM985	149.38
ZJM992	181.23
ZJM993	232.17
ZJM996	145.22
ZJM997	231.24
ZJM998	198.99
ZJM1001	304.51
ZJM1003	161.52
ZJM1005	176.42
ZJM1006	260.79
ZJM1008	166.03
ZJM1009	298.24
ZJM1012	244.53
ZJM1014	277.88
ZJM1016	199.78
ZJM1017	271.35
ZJM1021	110.68
ZJM1022	122.65
ZJM1023	115.98
ZJM1024	229.2
ZJM1025	244.12
ZJM1026	105.02
ZJM1027	183.18
ZJM1029	129.36
ZJM1030	162.36
ZJM1033	147.97
ZJM1036	216.58
ZJM1038	212.4
ZJM1039	314.04
ZJM1040	254.08
ZJM1050	196.77
ZJM1061	172.18
ZJM1069	147.24
ZJM1070	230.37
ZJM1072	228.61
ZJM1073	230.82
ZJM1080	182.12
ZJM1081	131.88
ZJM1082	198.9
ZJM1086	121.38
ZJM1089	136.16
ZJM1090	91.36
ZJM1091	218.39
ZJM1092	157.22
ZJM1093	115.27
ZJM1094	195.35
ZJM1096	180.02
ZJM1098	183.72
ZJM1099	195.92
ZJM1102	209.93
ZJM1103	249.35
ZJM1107	180.23
ZJM1108	195.35
ZJM1111	210.04
ZJM1112	198.62
ZJM1115	156.41
ZJM1117	197.4
ZJM1119	165.89
ZJM1120	241.5
ZJM1122	234.31
ZJM1123	238.73
ZJM1138	189.74
ZJM1139	247.3
ZJM1142	148.86
ZJM1144	181.1
ZJM1145	197.91
ZJM1147	158.69
ZJM1148	177.36
ZJM1149	156.96
ZJM1153	161.76
ZJM1154	125.0
ZJM1155	127.83
ZJM1159	157.02
ZJM1160	219.45
ZJM1162	236.87
ZJM1163	198.09
ZJM1166	215.71
ZJM1168	184.24
ZJM1169	216.16
ZJM1172	161.06
ZJM1173	229.92
ZJM1174	268.04
ZJM1179	143.6
ZJM1181	233.42
ZJM1182	172.24
ZJM1183	216.25
ZJM1186	196.81
ZJM1187	159.64
ZJM1188	229.68
ZJM1190	154.08
ZJM1192	221.38
ZJM1193	194.04
ZJM1195	219.89
ZJM1196	158.86
ZJM1198	133.14
ZJM1199	226.06
ZJM1201	164.0
ZJM1202	187.13
ZJM1206	169.27
ZJM1207	184.74
ZJM1211	147.42
ZJM1213	155.78
ZJM1214	124.25
ZJM1215	107.15
ZJM1219	182.11
ZJM1227	150.73
ZJM1228	157.09
ZJM1230	279.83
ZJM1231	234.15
ZJM1234	179.63
ZJM1235	176.15
ZJM1237	169.7
ZJM1241	201.78
ZJM1244	120.54
ZJM1256	150.84
ZJM1259	172.31
ZJM1262	122.76
ZJM1270	192.85
ZJM1272	180.39
ZJM1276	185.82
ZJM1288	206.43
ZJM1291	218.59
ZJM1297	175.56
ZJM1302	317.87
ZJM1318	157.54
ZJM1319	190.94
ZJM1321	200.67
ZJM1324	215.54
ZJM1325	170.62
ZJM1332	229.21
ZJM1335	203.31
ZJM1337	163.93
ZJM1341	216.47
ZJM1344	175.77
ZJM1347	197.63
ZJM1351	340.22
ZJM1373	217.78
ZJM1376	188.84
ZJM1377	224.77
ZJM1381	300.31
ZJM1388	173.49
ZJM1393	133.19
ZJM1412	359.49
ZJM1426	193.08
ZJM1439	219.33
ZJM1441	154.2
ZJM1442	178.99
ZJM1450	187.02
ZJM1457	291.6
ZJM1484	127.74
ZJM1485	234.29
ZJM1486	396.68
ZJN1	198.19
ZJN2	173.56
ZJN12	257.31
ZJN14	163.7
ZJN17	233.43
ZJN19	227.54
ZJN23	284.88
ZJN25	236.55
ZJN28	187.85
ZJN35	196.19
ZJN48	275.12
ZJN53	170.34
ZJN56	223.04
ZJN61	230.06
ZJN64	195.0
ZJN65	232.69
ZJN69	209.5
ZJN71	246.92
ZJN80	172.07
ZJN81	215.72
ZJN86	253.67
ZJN87	194.12
ZJN88	138.82
ZJN94	211.97
ZJN95	196.34
ZJN96	182.37
ZJN101	206.26
ZJN103	200.58
ZJN104	222.33
ZJN107	187.8
ZJN108	273.65
ZJN110	270.48
ZJN113	194.38
ZJN115	265.21
ZJN121	221.31
ZJN122	180.78
ZJN123	169.16
ZJN125	164.25
ZJN126	181.51
ZJN132	268.03
ZJN134	173.79
ZJN136	187.6
ZJN139	160.12
ZJN140	244.28
ZJN144	218.43
ZJN145	206.64
ZJN150	182.73
ZJN151	216.44
ZJN152	139.76
ZJN154	172.08
ZJN155	145.19
ZJN156	86.74
ZJN157	165.68
ZJN158	242.47
ZJN162	157.82
ZJN163	173.19
ZJN166	149.08
ZJN170	140.79
ZJN171	135.67
ZJN174	122.73
ZJN179	225.75
ZJN180	166.07
ZJN182	98.42
ZJN191	107.14
ZJN192	121.7
ZJN195	180.14
ZJN196	142.48
ZJN201	108.11
ZJN206	112.94
ZJN208	111.6
ZJN211	154.44
ZJN214	147.86
ZJN215	179.7
ZJN218	131.34
ZJN219	130.86
ZJN220	137.81
ZJN222	127.63
ZJN223	121.5
ZJN225	133.63
ZJN231	100.89
ZJN232	107.76
ZJN233	181.57
ZJN236	135.3
ZJN240	110.12
ZJN241	157.59
ZJN244	87.62
ZJN247	193.63
ZJN249	118.31
ZJN251	121.1
ZJN253	33.28
ZJN258	180.71
ZJN260	162.4
ZJN262	117.52
ZJN266	151.02
ZJN267	141.8
ZJN270	121.53
ZJN271	191.14
ZJN274	145.95
ZJN276	142.45
ZJN283	98.38
ZJN285	143.75
ZJN287	135.72
ZJN301	158.74
ZJN304	160.62
ZJN307	230.79
ZJN309	217.78
ZJN311	240.53
ZJN313	205.92
ZJN315	154.84
ZJN316	221.15
ZJN319	205.14
ZJN321	145.58
ZJN322	175.89
ZJN323	187.91
ZJN324	189.7
ZJN328	181.85
ZJN331	205.85
ZJN332	225.1
ZJN333	199.25
ZJN334	217.23
ZJN335	185.84
ZJN337	287.06
ZJN338	191.71
ZJN339	174.59
ZJN341	193.01
ZJN344	319.36
ZJN345	264.08
ZJN346	204.47
ZJN348	181.13
ZJN349	256.23
