samples	Heading_date
ZJM81	88
ZJM84	91
ZJM85	90
ZJM87	93
ZJM88	95
ZJM96	85
ZJM98	92
ZJM100	90
ZJM103	97
ZJM109	86
ZJM112	123
ZJM114	82
ZJM119	84
ZJM124	86
ZJM125	96
ZJM129	83
ZJM133	89
ZJM135	86
ZJM137	84
ZJM139	90
ZJM140	94
ZJM143	93
ZJM144	83
ZJM146	83
ZJM149	91
ZJM152	89
ZJM153	97
ZJM155	85
ZJM159	85
ZJM161	85
ZJM164	91
ZJM165	92
ZJM166	92
ZJM167	90
ZJM170	90
ZJM171	79
ZJM172	90
ZJM174	78
ZJM187	94
ZJM188	88
ZJM189	89
ZJM190	86
ZJM193	90
ZJM194	89
ZJM199	94
ZJM204	89
ZJM207	82
ZJM208	94
ZJM209	71
ZJM214	88
ZJM217	57
ZJM220	130
ZJM221	84
ZJM222	86
ZJM223	79
ZJM224	85
ZJM225	75
ZJM231	90
ZJM235	91
ZJM236	82
ZJM237	89
ZJM243	91
ZJM249	86
ZJM251	90
ZJM253	82
ZJM258	88
ZJM265	86
ZJM266	89
ZJM267	88
ZJM268	86
ZJM270	91
ZJM271	86
ZJM272	86
ZJM273	89
ZJM275	92
ZJM276	85
ZJM277	91
ZJM278	84
ZJM282	89
ZJM285	91
ZJM292	89
ZJM294	90
ZJM296	89
ZJM299	91
ZJM303	88
ZJM304	90
ZJM309	90
ZJM311	92
ZJM314	83
ZJM317	90
ZJM318	80
ZJM319	90
ZJM325	88
ZJM326	89
ZJM327	92
ZJM328	93
ZJM329	90
ZJM331	85
ZJM334	85
ZJM341	91
ZJM343	90
ZJM346	90
ZJM350	90
ZJM358	84
ZJM360	83
ZJM361	90
ZJM367	90
ZJM464	66
ZJM469	84
ZJM470	90
ZJM472	67
ZJM476	82
ZJM477	82
ZJM479	84
ZJM480	83
ZJM484	83
ZJM488	70
ZJM489	63
ZJM490	67
ZJM491	81
ZJM492	84
ZJM493	81
ZJM494	78
ZJM496	85
ZJM497	83
ZJM499	79
ZJM500	91
ZJM501	83
ZJM502	89
ZJM503	85
ZJM504	84
ZJM505	84
ZJM507	90
ZJM508	93
ZJM511	84
ZJM512	89
ZJM515	90
ZJM516	89
ZJM517	84
ZJM520	88
ZJM522	83
ZJM524	83
ZJM526	90
ZJM527	84
ZJM529	86
ZJM531	85
ZJM532	83
ZJM534	91
ZJM535	86
ZJM536	98
ZJM537	81
ZJM538	92
ZJM543	87
ZJM544	89
ZJM545	57
ZJM546	90
ZJM549	91
ZJM551	86
ZJM553	78
ZJM555	84
ZJM559	86
ZJM562	84
ZJM567	82
ZJM569	64
ZJM570	63
ZJM571	79
ZJM572	78
ZJM574	65
ZJM581	85
ZJM582	81
ZJM585	64
ZJM586	69
ZJM588	62
ZJM589	81
ZJM591	66
ZJM593	84
ZJM595	95
ZJM601	82
ZJM603	67
ZJM604	56
ZJM606	86
ZJM612	77
ZJM613	69
ZJM615	78
ZJM619	83
ZJM620	98
ZJM622	63
ZJM623	95
ZJM625	66
ZJM627	84
ZJM629	79
ZJM630	91
ZJM631	79
ZJM632	85
ZJM633	98
ZJM636	78
ZJM642	79
ZJM644	81
ZJM647	66
ZJM662	67
ZJM663	66
ZJM668	84
ZJM670	85
ZJM672	95
ZJM673	94
ZJM674	95
ZJM676	85
ZJM680	94
ZJM681	95
ZJM682	89
ZJM683	92
ZJM684	92
ZJM686	88
ZJM692	92
ZJM693	78
ZJM695	82
ZJM696	78
ZJM697	81
ZJM701	84
ZJM705	82
ZJM707	94
ZJM709	69
ZJM710	70
ZJM711	70
ZJM713	67
ZJM714	70
ZJM715	75
ZJM716	69
ZJM718	73
ZJM719	90
ZJM720	74
ZJM721	64
ZJM722	85
ZJM725	79
ZJM728	86
ZJM729	78
ZJM731	82
ZJM732	84
ZJM734	85
ZJM740	90
ZJM741	86
ZJM745	84
ZJM750	85
ZJM753	84
ZJM756	128
ZJM758	84
ZJM762	90
ZJM765	83
ZJM767	89
ZJM773	90
ZJM776	85
ZJM779	86
ZJM782	82
ZJM786	89
ZJM787	90
ZJM788	90
ZJM791	85
ZJM792	94
ZJM793	89
ZJM796	91
ZJM797	90
ZJM801	91
ZJM802	87
ZJM806	84
ZJM810	90
ZJM811	84
ZJM812	84
ZJM814	84
ZJM815	84
ZJM816	83
ZJM825	87
ZJM826	75
ZJM829	87
ZJM830	87
ZJM834	75
ZJM845	85
ZJM847	86
ZJM851	86
ZJM853	86
ZJM854	90
ZJM856	87
ZJM857	87
ZJM866	85
ZJM867	85
ZJM869	81
ZJM874	84
ZJM875	90
ZJM880	85
ZJM881	85
ZJM883	86
ZJM884	83
ZJM885	84
ZJM886	83
ZJM889	86
ZJM894	84
ZJM897	76
ZJM898	75
ZJM899	86
ZJM900	70
ZJM901	79
ZJM903	83
ZJM904	83
ZJM905	85
ZJM908	85
ZJM909	63
ZJM910	69
ZJM912	83
ZJM915	62
ZJM919	81
ZJM921	91
ZJM926	71
ZJM932	71
ZJM934	75
ZJM940	82
ZJM941	87
ZJM946	74
ZJM948	78
ZJM950	87
ZJM951	86
ZJM955	83
ZJM960	79
ZJM962	68
ZJM963	80
ZJM965	80
ZJM966	86
ZJM967	63
ZJM971	90
ZJM972	68
ZJM973	87
ZJM975	83
ZJM977	64
ZJM978	83
ZJM983	75
ZJM985	89
ZJM992	81
ZJM993	84
ZJM996	90
ZJM997	76
ZJM998	84
ZJM1001	86
ZJM1003	87
ZJM1005	91
ZJM1006	80
ZJM1008	92
ZJM1009	87
ZJM1012	78
ZJM1014	88
ZJM1016	80
ZJM1017	79
ZJM1021	77
ZJM1022	78
ZJM1023	83
ZJM1024	81
ZJM1025	83
ZJM1026	80
ZJM1027	83
ZJM1029	79
ZJM1030	79
ZJM1033	79
ZJM1036	86
ZJM1038	93
ZJM1039	91
ZJM1040	79
ZJM1050	86
ZJM1061	75
ZJM1069	79
ZJM1070	81
ZJM1072	86
ZJM1073	87
ZJM1080	87
ZJM1081	90
ZJM1082	90
ZJM1086	79
ZJM1089	76
ZJM1090	74
ZJM1091	75
ZJM1092	76
ZJM1093	76
ZJM1094	92
ZJM1096	77
ZJM1098	79
ZJM1099	83
ZJM1102	83
ZJM1103	85
ZJM1107	121
ZJM1108	82
ZJM1111	79
ZJM1112	126
ZJM1115	127
ZJM1117	126
ZJM1119	79
ZJM1120	87
ZJM1122	81
ZJM1123	82
ZJM1138	84
ZJM1139	84
ZJM1142	91
ZJM1144	80
ZJM1145	87
ZJM1147	92
ZJM1148	93
ZJM1149	83
ZJM1153	95
ZJM1154	83
ZJM1155	80
ZJM1159	65
ZJM1160	127
ZJM1162	83
ZJM1163	85
ZJM1166	84
ZJM1168	125
ZJM1169	87
ZJM1172	76
ZJM1173	84
ZJM1174	80
ZJM1179	71
ZJM1181	84
ZJM1182	76
ZJM1183	79
ZJM1186	79
ZJM1187	76
ZJM1188	84
ZJM1190	64
ZJM1192	119
ZJM1193	115
ZJM1195	129
ZJM1196	83
ZJM1198	129
ZJM1199	122
ZJM1201	79
ZJM1202	74
ZJM1206	125
ZJM1207	127
ZJM1211	82
ZJM1213	83
ZJM1214	77
ZJM1215	76
ZJM1219	85
ZJM1227	74
ZJM1228	85
ZJM1230	82
ZJM1231	82
ZJM1234	124
ZJM1235	85
ZJM1237	76
ZJM1241	87
ZJM1244	70
ZJM1256	78
ZJM1259	87
ZJM1262	97
ZJM1270	83
ZJM1272	84
ZJM1276	79
ZJM1288	84
ZJM1291	127
ZJM1297	65
ZJM1302	85
ZJM1318	87
ZJM1319	86
ZJM1321	85
ZJM1324	85
ZJM1325	90
ZJM1332	90
ZJM1335	83
ZJM1337	85
ZJM1341	86
ZJM1344	91
ZJM1347	89
ZJM1351	86
ZJM1373	91
ZJM1376	91
ZJM1377	86
ZJM1381	86
ZJM1388	90
ZJM1393	85
ZJM1412	84
ZJM1426	94
ZJM1439	89
ZJM1441	87
ZJM1442	87
ZJM1450	83
ZJM1457	86
ZJM1484	75
ZJM1485	83
ZJM1486	96
ZJN1	83
ZJN2	79
ZJN12	83
ZJN14	80
ZJN17	82
ZJN19	82
ZJN23	80
ZJN25	76
ZJN28	77
ZJN35	76
ZJN48	83
ZJN53	86
ZJN56	83
ZJN61	83
ZJN64	82
ZJN65	83
ZJN69	84
ZJN71	75
ZJN80	75
ZJN81	82
ZJN86	77
ZJN87	75
ZJN88	75
ZJN94	83
ZJN95	82
ZJN96	84
ZJN101	82
ZJN103	81
ZJN104	78
ZJN107	74
ZJN108	83
ZJN110	74
ZJN113	85
ZJN115	90
ZJN121	74
ZJN122	84
ZJN123	76
ZJN125	83
ZJN126	86
ZJN132	76
ZJN134	75
ZJN136	83
ZJN139	83
ZJN140	87
ZJN144	83
ZJN145	82
ZJN150	87
ZJN151	76
ZJN152	85
ZJN154	73
ZJN155	86
ZJN156	75
ZJN157	82
ZJN158	86
ZJN162	68
ZJN163	66
ZJN166	61
ZJN170	68
ZJN171	63
ZJN174	57
ZJN179	64
ZJN180	66
ZJN182	62
ZJN191	63
ZJN192	66
ZJN195	64
ZJN196	59
ZJN201	58
ZJN206	62
ZJN208	58
ZJN211	64
ZJN214	61
ZJN215	64
ZJN218	63
ZJN219	59
ZJN220	62
ZJN222	58
ZJN223	62
ZJN225	57
ZJN231	58
ZJN232	58
ZJN233	58
ZJN236	59
ZJN240	76
ZJN241	66
ZJN244	67
ZJN247	64
ZJN249	63
ZJN251	73
ZJN253	65
ZJN258	66
ZJN260	66
ZJN262	63
ZJN266	67
ZJN267	66
ZJN270	62
ZJN271	64
ZJN274	63
ZJN276	65
ZJN283	61
ZJN285	63
ZJN287	61
ZJN301	85
ZJN304	87
ZJN307	82
ZJN309	82
ZJN311	83
ZJN313	83
ZJN315	84
ZJN316	85
ZJN319	83
ZJN321	85
ZJN322	84
ZJN323	83
ZJN324	84
ZJN328	95
ZJN331	82
ZJN332	83
ZJN333	83
ZJN334	86
ZJN335	82
ZJN337	83
ZJN338	84
ZJN339	84
ZJN341	83
ZJN344	92
ZJN345	92
ZJN346	83
ZJN348	92
ZJN349	84
ZJN351	74
ZJN353	83
ZJN356	80
ZJN363	83
ZJN372	89
ZJN376	84
ZJN377	86
ZJN378	83
ZJN380	83
ZJN381	75
ZJN382	83
ZJN387	82
ZJN394	83
ZJN396	82
ZJN397	84
ZJN398	84
ZJN399	92
ZJN402	85
ZJN403	82
ZJN409	84
ZJN410	87
ZJN414	82
ZJN415	84
ZJN416	83
ZJN417	82
ZJN418	86
ZJN421	86
ZJN425	85
ZJN426	86
ZJN427	85
ZJN430	83
ZJN434	93
ZJN440	85
ZJN441	85
ZJN449	86
ZJN450	86
ZJN454	87
ZJN455	90
ZJN456	85
ZJN457	78
ZJN459	90
ZJN467	83
ZJN468	85
ZJN469	87
ZJN472	92
ZJN474	84
ZJN476	84
ZJN477	84
ZJN479	88
ZJN480	84
ZJN483	87
ZJN484	83
ZJN485	90
ZJN486	82
ZJN487	84
ZJN489	86
ZJN490	87
ZJN492	84
ZJN495	83
ZJN500	85
ZJN503	74
ZJN504	85
ZJN513	83
ZJN521	75
ZJN523	83
ZJN524	83
ZJN525	82
ZJN527	83
ZJN534	83
ZJN536	81
ZJN538	84
ZJN540	84
ZJN544	87
ZJN557	83
ZJN568	83
ZJN569	83
ZJN581	81
ZJN582	89
ZJN583	92
ZJN598	83
ZJN601	83
ZJN602	83
ZJN611	86
ZJN612	86
ZJN613	85
ZJN614	82
ZJN615	89
ZJN622	86
ZJN625	92
ZJN627	89
ZJN638	85
ZJN645	85
ZJN646	83
ZJN647	87
ZJN651	82
ZJN657	85
ZJN659	83
ZJN661	83
ZJN663	85
