samples	Leaf_length
ZJM81	34.87
ZJM84	37.73
ZJM85	35.17
ZJM87	46.55
ZJM88	34.27
ZJM96	31.03
ZJM98	30.07
ZJM100	29.4
ZJM103	45.53
ZJM109	42.37
ZJM112	59.13
ZJM114	41.13
ZJM119	25.75
ZJM124	33.77
ZJM125	44.17
ZJM129	33.27
ZJM133	36.7
ZJM135	36.1
ZJM137	42.63
ZJM139	42.93
ZJM140	46.5
ZJM143	40.4
ZJM144	57.07
ZJM146	53.03
ZJM149	46.23
ZJM152	40.8
ZJM153	49.5
ZJM155	38.23
ZJM159	42.2
ZJM161	40.07
ZJM164	46.97
ZJM165	36.67
ZJM166	41.47
ZJM167	41.83
ZJM170	37.97
ZJM171	47.45
ZJM172	34.1
ZJM174	40.0
ZJM187	41.3
ZJM188	27.0
ZJM189	38.47
ZJM190	36.33
ZJM193	36.07
ZJM194	35.7
ZJM199	32.9
ZJM204	45.1
ZJM207	50.57
ZJM208	45.67
ZJM209	43.83
ZJM214	32.67
ZJM217	31.7
ZJM220	43.23
ZJM221	40.53
ZJM222	40.13
ZJM223	47.87
ZJM224	36.5
ZJM225	45.37
ZJM231	30.0
ZJM235	40.4
ZJM236	39.83
ZJM237	35.17
ZJM243	43.6
ZJM249	34.03
ZJM251	36.0
ZJM253	38.33
ZJM258	44.63
ZJM265	28.8
ZJM266	36.57
ZJM267	41.07
ZJM268	34.5
ZJM270	43.97
ZJM271	44.23
ZJM272	35.7
ZJM273	36.83
ZJM275	43.3
ZJM276	36.67
ZJM277	37.23
ZJM278	31.3
ZJM282	33.2
ZJM285	38.63
ZJM292	33.53
ZJM294	40.47
ZJM296	32.77
ZJM299	36.67
ZJM303	36.63
ZJM304	34.6
ZJM309	35.5
ZJM311	39.9
ZJM314	30.97
ZJM317	33.87
ZJM318	27.83
ZJM319	36.13
ZJM325	35.37
ZJM326	40.83
ZJM327	39.0
ZJM328	39.53
ZJM329	34.67
ZJM331	32.13
ZJM334	36.3
ZJM341	39.87
ZJM343	32.57
ZJM346	36.97
ZJM350	35.4
ZJM358	44.1
ZJM360	35.9
ZJM361	43.47
ZJM367	42.5
ZJM464	38.07
ZJM469	51.55
ZJM470	34.83
ZJM472	26.97
ZJM476	52.5
ZJM477	44.83
ZJM479	42.9
ZJM480	43.07
ZJM484	50.2
ZJM488	38.37
ZJM489	29.33
ZJM490	32.3
ZJM491	38.43
ZJM492	30.13
ZJM493	40.37
ZJM494	54.25
ZJM496	37.6
ZJM497	56.8
ZJM499	38.57
ZJM500	40.23
ZJM501	38.2
ZJM502	40.3
ZJM503	45.53
ZJM504	42.63
ZJM505	53.13
