samples	Plant_height
ZJM81	111.33
ZJM84	118.67
ZJM85	115.0
ZJM87	121.33
ZJM88	116.33
ZJM96	115.67
ZJM98	117.67
ZJM100	123.33
ZJM103	128.67
ZJM109	128.0
ZJM112	122.33
ZJM114	115.0
ZJM119	118.33
ZJM124	119.67
ZJM125	111.33
ZJM129	103.0
ZJM133	125.0
ZJM135	121.67
ZJM137	123.67
ZJM139	130.0
ZJM140	132.67
ZJM143	138.33
ZJM144	130.33
ZJM146	117.0
ZJM149	123.67
ZJM152	139.67
ZJM153	126.0
ZJM155	135.0
ZJM159	128.67
ZJM161	125.67
ZJM164	131.67
ZJM165	132.33
ZJM166	132.33
ZJM167	140.33
ZJM170	136.33
ZJM171	113.33
ZJM172	130.0
ZJM174	112.0
ZJM187	135.0
ZJM188	123.33
ZJM189	122.67
ZJM190	116.67
ZJM193	128.67
ZJM194	134.67
ZJM199	134.67
ZJM204	136.33
ZJM207	109.0
ZJM208	136.33
ZJM209	98.0
ZJM214	127.67
ZJM217	115.67
ZJM220	118.67
ZJM221	122.0
ZJM222	137.5
ZJM223	113.33
ZJM224	128.67
ZJM225	109.0
ZJM231	135.33
ZJM235	135.67
ZJM236	119.33
ZJM237	135.5
ZJM243	133.0
ZJM249	128.33
ZJM251	138.67
ZJM253	108.0
ZJM258	135.0
ZJM265	122.67
ZJM266	127.33
ZJM267	128.67
ZJM268	121.33
ZJM270	124.0
ZJM271	127.33
ZJM272	130.33
ZJM273	109.33
ZJM275	136.33
ZJM276	125.33
ZJM277	132.33
ZJM278	126.33
ZJM282	119.67
ZJM285	126.67
ZJM292	120.33
ZJM294	127.33
ZJM296	119.67
ZJM299	133.67
ZJM303	120.67
ZJM304	125.33
ZJM309	120.67
ZJM311	121.67
ZJM314	103.33
ZJM317	120.0
ZJM318	103.67
ZJM319	123.0
ZJM325	122.67
ZJM326	122.33
ZJM327	121.67
ZJM328	122.0
ZJM329	121.0
ZJM331	129.0
ZJM334	120.67
ZJM341	127.33
ZJM343	124.67
ZJM346	116.33
ZJM350	125.0
ZJM358	121.33
ZJM360	118.33
ZJM361	128.67
ZJM367	131.0
ZJM464	95.0
ZJM469	126.67
ZJM470	139.0
ZJM472	101.67
ZJM476	104.67
ZJM477	107.0
ZJM479	116.33
ZJM480	106.0
ZJM484	115.0
ZJM488	92.33
ZJM489	82.67
ZJM490	83.67
ZJM491	101.0
ZJM492	109.0
ZJM493	93.0
ZJM494	97.67
ZJM496	114.0
ZJM497	107.67
ZJM499	103.33
ZJM500	126.33
ZJM501	111.33
ZJM502	120.33
ZJM503	116.0
ZJM504	111.33
ZJM505	119.67
ZJM507	119.0
ZJM508	129.33
ZJM511	106.33
ZJM512	125.67
ZJM515	132.67
ZJM516	133.0
ZJM517	119.33
ZJM520	116.0
ZJM522	109.33
ZJM524	115.33
ZJM526	123.67
ZJM527	118.33
ZJM529	122.67
ZJM531	133.67
ZJM532	107.67
ZJM534	130.33
ZJM535	121.67
ZJM536	129.0
ZJM537	121.0
ZJM538	124.67
ZJM543	129.33
ZJM544	119.33
ZJM545	81.0
ZJM546	129.67
ZJM549	115.67
ZJM551	135.67
ZJM553	102.0
ZJM555	123.0
ZJM559	116.33
ZJM562	118.0
ZJM567	131.33
ZJM569	97.33
ZJM570	89.67
ZJM571	124.33
ZJM572	114.33
ZJM574	99.0
ZJM581	123.33
ZJM582	115.33
ZJM585	102.67
ZJM586	97.0
ZJM588	83.0
ZJM589	114.33
ZJM591	108.33
ZJM593	114.33
ZJM595	131.33
ZJM601	112.67
ZJM603	95.0
ZJM604	89.33
ZJM606	122.67
ZJM612	102.33
ZJM613	93.67
ZJM615	119.33
ZJM619	112.67
ZJM620	129.33
ZJM622	98.33
ZJM623	133.0
ZJM625	91.33
ZJM627	132.0
ZJM629	124.0
ZJM630	129.33
ZJM631	110.67
ZJM632	118.67
ZJM633	123.67
ZJM636	96.67
ZJM642	112.67
ZJM644	121.33
ZJM647	107.0
ZJM662	81.67
ZJM663	87.67
ZJM668	113.33
ZJM670	113.0
ZJM672	102.33
ZJM673	102.67
ZJM674	110.0
ZJM676	118.33
ZJM680	114.5
ZJM681	126.0
ZJM682	122.0
ZJM683	129.33
ZJM684	127.33
ZJM686	128.0
ZJM692	106.67
