samples	Seed_setting_rate
ZJM81	0.6
ZJM84	0.83
ZJM85	0.77
ZJM87	0.77
ZJM88	0.67
ZJM96	0.67
ZJM98	0.68
ZJM100	0.7
ZJM103	0.78
ZJM109	0.76
ZJM112	0.83
ZJM114	0.62
ZJM119	0.8
ZJM124	0.66
ZJM125	0.89
ZJM129	0.89
ZJM133	0.77
ZJM135	0.8
ZJM137	0.8
ZJM139	0.64
ZJM140	0.78
ZJM143	0.85
ZJM144	0.89
ZJM146	0.7
ZJM149	0.73
ZJM152	0.62
ZJM153	0.89
ZJM155	0.76
ZJM159	0.79
ZJM161	0.77
ZJM164	0.71
ZJM165	0.8
ZJM166	0.89
ZJM167	0.82
ZJM170	0.78
ZJM171	0.81
ZJM172	0.91
ZJM174	0.81
ZJM187	0.81
ZJM188	0.88
ZJM189	0.62
ZJM190	0.75
ZJM193	0.8
ZJM194	0.63
ZJM199	0.91
ZJM204	0.75
ZJM207	0.82
ZJM208	0.85
ZJM209	0.78
ZJM214	0.63
ZJM217	0.7
ZJM220	0.83
ZJM221	0.78
ZJM222	0.75
ZJM223	0.81
ZJM224	0.73
ZJM225	0.82
ZJM231	0.82
ZJM235	0.82
ZJM236	0.88
ZJM237	0.79
ZJM243	0.79
ZJM249	0.77
ZJM251	0.76
ZJM253	0.77
ZJM258	0.83
ZJM265	0.88
ZJM266	0.82
ZJM267	0.66
ZJM268	0.83
ZJM270	0.86
ZJM271	0.87
ZJM272	0.61
ZJM273	0.68
ZJM275	0.75
ZJM276	0.66
ZJM277	0.85
ZJM278	0.76
ZJM282	0.69
ZJM285	0.83
ZJM292	0.89
ZJM294	0.9
ZJM296	0.89
ZJM299	0.91
ZJM303	0.82
ZJM304	0.91
ZJM309	0.92
ZJM311	0.78
ZJM314	0.77
ZJM317	0.94
ZJM318	0.82
ZJM319	0.82
ZJM325	0.83
ZJM326	0.86
ZJM327	0.88
ZJM328	0.89
ZJM329	0.84
ZJM331	0.79
ZJM334	0.8
ZJM341	0.79
ZJM343	0.81
ZJM346	0.82
ZJM350	0.88
ZJM358	0.92
ZJM360	0.83
ZJM361	0.84
ZJM367	0.86
ZJM464	0.77
ZJM469	0.75
ZJM470	0.82
ZJM472	0.93
ZJM476	0.69
ZJM477	0.77
ZJM479	0.84
ZJM480	0.81
ZJM484	0.86
ZJM488	0.88
ZJM489	0.85
ZJM490	0.79
ZJM491	0.79
ZJM492	0.83
ZJM493	0.75
ZJM494	0.78
ZJM496	0.68
ZJM497	0.88
ZJM499	0.75
ZJM500	0.92
ZJM501	0.75
ZJM502	0.79
ZJM503	0.81
ZJM504	0.91
ZJM505	0.76
ZJM507	0.77
ZJM508	0.86
ZJM511	0.67
ZJM512	0.78
ZJM515	0.62
ZJM516	0.71
ZJM517	0.84
ZJM520	0.77
ZJM522	0.92
ZJM524	0.78
ZJM526	0.86
ZJM527	0.81
ZJM529	0.87
ZJM531	0.85
ZJM532	0.71
ZJM534	0.68
ZJM535	0.7
ZJM536	0.87
ZJM537	0.93
ZJM538	0.92
ZJM543	0.86
ZJM544	0.74
ZJM545	0.83
ZJM546	0.81
ZJM549	0.86
ZJM551	0.81
ZJM553	0.91
ZJM555	0.87
ZJM559	0.89
ZJM562	0.83
ZJM567	0.94
ZJM569	0.84
ZJM570	0.84
ZJM571	0.9
ZJM572	0.96
ZJM574	0.89
ZJM581	0.87
ZJM582	0.89
ZJM585	0.88
ZJM586	0.82
ZJM588	0.87
ZJM589	0.89
ZJM591	0.85
ZJM593	0.89
ZJM595	0.89
ZJM601	0.84
ZJM603	0.87
ZJM604	0.85
ZJM606	0.84
ZJM612	0.92
ZJM613	0.91
ZJM615	0.92
ZJM619	0.76
ZJM620	0.93
ZJM622	0.87
ZJM623	0.76
ZJM625	0.87
ZJM627	0.9
ZJM629	0.92
ZJM630	0.74
ZJM631	0.83
ZJM632	0.66
ZJM633	0.92
ZJM636	0.9
ZJM642	0.94
ZJM644	0.93
ZJM647	0.93
ZJM662	0.83
ZJM663	0.86
ZJM668	0.85
ZJM670	0.71
ZJM672	0.75
ZJM673	0.88
ZJM674	0.81
ZJM676	0.74
ZJM680	0.74
ZJM681	0.87
ZJM682	0.8
ZJM683	0.8
ZJM684	0.87
ZJM686	0.69
ZJM692	0.62
ZJM693	0.7
ZJM695	0.84
ZJM696	0.78
ZJM697	0.72
ZJM701	0.86
ZJM705	0.93
ZJM707	0.89
ZJM709	0.89
ZJM710	0.86
ZJM711	0.82
ZJM713	0.78
ZJM714	0.73
ZJM715	0.76
ZJM716	0.85
ZJM718	0.66
ZJM719	0.82
ZJM720	0.85
ZJM721	0.77
ZJM722	0.84
ZJM725	0.85
ZJM728	0.78
ZJM729	0.85
ZJM731	0.89
ZJM732	0.88
ZJM734	0.78
ZJM740	0.82
ZJM741	0.84
ZJM745	0.74
ZJM750	0.85
ZJM753	0.9
ZJM756	0.77
ZJM758	0.85
ZJM762	0.7
ZJM765	0.84
ZJM767	0.77
ZJM773	0.61
ZJM776	0.8
ZJM779	0.86
ZJM782	0.58
ZJM786	0.71
ZJM787	0.75
ZJM788	0.63
ZJM791	0.78
ZJM792	0.87
ZJM793	0.78
ZJM796	0.71
ZJM797	0.82
ZJM801	0.61
ZJM802	0.76
ZJM806	0.7
ZJM810	0.82
ZJM811	0.75
ZJM812	0.85
ZJM814	0.9
ZJM815	0.87
ZJM816	0.8
