samples	Tiller_angle
ZJM81	83.0
ZJM84	77.7
ZJM85	78.3
ZJM87	77.0
ZJM88	84.7
ZJM96	81.7
ZJM98	79.7
ZJM100	82.0
ZJM103	82.7
ZJM109	83.0
ZJM112	75.0
ZJM114	81.3
ZJM119	82.3
ZJM124	85.7
ZJM125	85.0
ZJM129	73.7
ZJM133	81.7
ZJM135	82.7
ZJM137	84.7
ZJM139	80.7
ZJM140	83.7
ZJM143	80.7
ZJM144	82.0
ZJM146	81.7
ZJM149	77.0
ZJM152	77.0
ZJM153	83.7
ZJM155	78.0
ZJM159	75.3
ZJM161	84.0
ZJM164	83.7
ZJM165	79.3
ZJM166	84.3
ZJM167	84.0
ZJM170	82.3
ZJM171	80.3
ZJM172	76.3
ZJM174	84.0
ZJM187	79.7
ZJM188	81.3
ZJM189	80.3
ZJM190	80.3
ZJM193	78.3
ZJM194	79.0
ZJM199	79.0
ZJM204	79.3
ZJM207	81.7
ZJM208	82.7
ZJM209	80.0
ZJM214	82.7
ZJM217	81.0
ZJM220	78.3
ZJM221	79.3
ZJM222	79.3
ZJM223	80.0
ZJM224	83.0
ZJM225	82.3
ZJM231	82.0
ZJM235	81.3
ZJM236	81.0
ZJM237	79.3
ZJM243	75.0
ZJM249	79.3
ZJM251	81.0
ZJM253	76.7
ZJM258	79.3
ZJM265	80.7
ZJM266	79.7
ZJM267	82.0
ZJM268	83.0
ZJM270	80.0
ZJM271	81.0
ZJM272	83.7
ZJM273	84.7
ZJM275	79.7
ZJM276	74.7
ZJM277	78.7
ZJM278	80.3
ZJM282	76.7
ZJM285	83.0
ZJM292	78.3
ZJM294	81.7
ZJM296	74.3
ZJM299	80.7
ZJM303	83.3
ZJM304	80.0
ZJM309	83.3
ZJM311	81.0
ZJM314	75.0
ZJM317	81.0
ZJM318	83.0
ZJM319	83.7
ZJM325	85.3
ZJM326	82.0
ZJM327	81.7
ZJM328	77.7
ZJM329	85.7
ZJM331	79.7
ZJM334	81.3
ZJM341	82.7
ZJM343	82.3
ZJM346	76.3
ZJM350	78.3
ZJM358	77.7
ZJM360	79.0
ZJM361	76.0
ZJM367	80.0
ZJM464	75.3
ZJM469	78.0
ZJM470	86.0
ZJM472	82.0
ZJM476	74.7
ZJM477	81.3
ZJM479	77.0
ZJM480	80.3
ZJM484	84.3
ZJM488	77.7
ZJM489	76.7
ZJM490	77.7
ZJM491	68.7
ZJM492	84.0
ZJM493	78.0
ZJM494	74.0
ZJM496	81.7
ZJM497	79.7
ZJM499	78.7
ZJM500	80.7
ZJM501	80.0
ZJM502	74.7
ZJM503	80.0
ZJM504	86.7
ZJM505	81.0
ZJM507	81.0
ZJM508	83.3
ZJM511	79.3
ZJM512	79.3
ZJM515	82.0
ZJM516	79.7
ZJM517	86.0
ZJM520	73.3
ZJM522	73.3
ZJM524	76.3
ZJM526	82.7
ZJM527	83.7
ZJM529	78.0
ZJM531	85.0
ZJM532	80.7
ZJM534	80.7
ZJM535	84.7
ZJM536	81.3
ZJM537	77.0
ZJM538	81.0
ZJM543	79.7
ZJM544	81.0
ZJM545	82.3
ZJM546	81.0
ZJM549	78.7
ZJM551	77.3
ZJM553	75.7
ZJM555	81.7
ZJM559	76.7
ZJM562	83.0
ZJM567	84.0
ZJM569	79.7
ZJM570	76.3
ZJM571	80.7
