samples	Yield_per_plant
ZJM81	30.99
ZJM84	30.57
ZJM85	38.14
ZJM87	50.08
ZJM88	40.95
ZJM96	23.84
ZJM98	50.64
ZJM100	46.08
ZJM103	42.91
ZJM109	27.58
ZJM112	55.3
ZJM114	33.77
ZJM119	39.1
ZJM124	33.63
ZJM125	46.34
ZJM129	35.49
ZJM133	30.1
ZJM135	32.08
ZJM137	40.58
ZJM139	30.93
ZJM140	37.87
ZJM143	51.52
ZJM144	57.64
ZJM146	30.65
ZJM149	46.31
ZJM152	31.34
ZJM153	39.88
ZJM155	36.34
ZJM159	47.94
ZJM161	38.65
ZJM164	50.17
ZJM165	40.7
ZJM166	37.17
ZJM167	42.78
ZJM170	28.12
ZJM171	39.03
ZJM172	51.05
ZJM174	36.97
ZJM187	41.52
ZJM188	42.07
ZJM189	27.62
ZJM190	34.68
ZJM193	29.05
ZJM194	31.78
ZJM199	30.19
ZJM204	23.04
ZJM207	27.29
ZJM208	38.74
ZJM209	22.05
ZJM214	30.77
ZJM217	26.75
ZJM220	48.93
ZJM221	24.85
ZJM222	45.19
ZJM223	29.11
ZJM224	40.09
ZJM225	47.64
ZJM231	31.04
ZJM235	25.9
ZJM236	41.37
ZJM237	36.5
ZJM243	26.05
ZJM249	23.45
ZJM251	41.87
ZJM253	27.94
ZJM258	42.64
ZJM265	32.41
ZJM266	32.49
ZJM267	42.7
ZJM268	34.23
ZJM270	38.15
ZJM271	39.47
ZJM272	26.84
ZJM273	38.85
ZJM275	29.16
ZJM276	33.7
ZJM277	29.49
ZJM278	27.51
ZJM282	31.89
ZJM285	59.24
ZJM292	24.99
ZJM294	47.98
ZJM296	27.58
ZJM299	28.98
ZJM303	35.47
ZJM304	35.84
ZJM309	43.34
ZJM311	44.62
ZJM314	36.26
ZJM317	35.93
ZJM318	39.39
ZJM319	29.77
ZJM325	44.56
ZJM326	36.49
ZJM327	31.75
ZJM328	42.07
ZJM329	49.35
ZJM331	44.73
ZJM334	57.39
ZJM341	37.59
ZJM343	34.03
ZJM346	44.9
ZJM350	28.36
ZJM358	37.32
ZJM360	25.99
ZJM361	30.57
ZJM367	30.57
ZJM464	18.87
ZJM469	38.15
ZJM470	41.49
ZJM472	29.77
ZJM476	33.9
ZJM477	22.55
ZJM479	33.57
ZJM480	28.8
ZJM484	33.28
ZJM488	23.14
ZJM489	25.65
ZJM490	32.52
ZJM491	29.15
ZJM492	27.95
ZJM493	19.64
ZJM494	32.66
ZJM496	22.14
ZJM497	31.23
ZJM499	26.4
ZJM500	31.77
ZJM501	32.71
ZJM502	18.69
ZJM503	35.68
ZJM504	28.54
ZJM505	30.67
ZJM507	26.33
ZJM508	34.22
ZJM511	29.63
ZJM512	25.45
ZJM515	23.05
ZJM516	31.66
ZJM517	31.21
ZJM520	22.67
ZJM522	35.21
