D3558,Zhenshan98,modern cultivar,1976,indica,Zhejiang,CC-I,10.68,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537224/CRR1537224_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537224/CRR1537224_r2.fq.gz
D1096,Shuliang7,modern cultivar,1978,japonica,Jilin,NE,11.3,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534569/CRR1534569_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534569/CRR1534569_r2.fq.gz
D3860,Tuanhuangzhan,modern cultivar,1983,indica,Guangxi,SC,11.01,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537453/CRR1537453_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537453/CRR1537453_r2.fq.gz
D3301,Nuoir837,modern cultivar,1983,indica,Guangdong,CC-I,11.97,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536935/CRR1536935_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536935/CRR1536935_r2.fq.gz
D1160,Shendao81,modern cultivar,1983,japonica,Liaoning,NE,11.27,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534580/CRR1534580_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534580/CRR1534580_r2.fq.gz
D3193,Guifu3,modern cultivar,1983,indica,Fujian,CC-I,11.85,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536819/CRR1536819_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536819/CRR1536819_r2.fq.gz
D1063,Jilu1,modern cultivar,1987,japonica,Jilin,NE,12.47,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534537/CRR1534537_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534537/CRR1534537_r2.fq.gz
D3502,Fu8329,modern cultivar,1989,indica,Zhejiang,CC-I,14.46,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537166/CRR1537166_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537166/CRR1537166_r2.fq.gz
D3583,Butuoai,modern cultivar,1989,indica,Zhejiang,CC-I,11.85,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537251/CRR1537251_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537251/CRR1537251_r2.fq.gz
D1925,Yungeng2,modern cultivar,1990,japonica,Yunnan,SW-J,10.71,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535473/CRR1535473_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535473/CRR1535473_r2.fq.gz
D1099,Changfeng,modern cultivar,1990,japonica,Jilin,NE,13.86,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534572/CRR1534572_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534572/CRR1534572_r2.fq.gz
D3611,Fu8-1,modern cultivar,1991,indica,Zhejiang,CC-I,13.71,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537281/CRR1537281_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537281/CRR1537281_r2.fq.gz
D3423,Qinghuaai6,modern cultivar,1991,indica,Guangdong,SC,12.81,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537082/CRR1537082_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537082/CRR1537082_r2.fq.gz
D1027,Jileng85,modern cultivar,1992,japonica,Jilin,NE,26.94,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534501/CRR1534501_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534501/CRR1534501_r2.fq.gz
D1358,Jinuo01,modern cultivar,1993,japonica,Hebei,NC,13.92,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534860/CRR1534860_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534860/CRR1534860_r2.fq.gz
D3200,47-104,modern cultivar,1993,indica,Zhejiang,CC-I,11.26,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536828/CRR1536828_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536828/CRR1536828_r2.fq.gz
D3444,Zhenfu,modern cultivar,1993,indica,Zhejiang,CC-I,13.44,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537104/CRR1537104_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537104/CRR1537104_r2.fq.gz
D3297,Yeaosimiao2,modern cultivar,1995,indica,Guangdong,SC,16.95,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536929/CRR1536929_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536929/CRR1536929_r2.fq.gz
D1066,Nongda3,modern cultivar,1995,japonica,Jilin,NE,13.29,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534540/CRR1534540_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534540/CRR1534540_r2.fq.gz
D1077,Ji90-0852,modern cultivar,1995,japonica,Jilin,NE,11.18,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534551/CRR1534551_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534551/CRR1534551_r2.fq.gz
D1941,Yungeng33,modern cultivar,1995,japonica,Yunnan,SW-J,18.69,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535720/CRR1535720_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535720/CRR1535720_r2.fq.gz
D1076,Ji9131,modern cultivar,1997,japonica,Jilin,NE,12.3,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534550/CRR1534550_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534550/CRR1534550_r2.fq.gz
D3445,Erliuai,modern cultivar,1997,indica,Zhejiang,CC-I,11.25,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537105/CRR1537105_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537105/CRR1537105_r2.fq.gz
D3199,F488,modern cultivar,1997,indica,Fujian,SC,11.51,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536825/CRR1536825_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536825/CRR1536825_r2.fq.gz
D1047,Yan8729,modern cultivar,1997,japonica,Jilin,NE,14.03,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534520/CRR1534520_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534520/CRR1534520_r2.fq.gz
D1917,Hongyang3,modern cultivar,1998,indica,Yunnan,SW-I,22.53,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535465/CRR1535465_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535465/CRR1535465_r2.fq.gz
D1962,Ligeng5,modern cultivar,1998,japonica,Yunnan,SW-J,10.28,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535512/CRR1535512_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535512/CRR1535512_r2.fq.gz
D1356,Zhenxianggeng5,modern cultivar,1998,japonica,Jiangsu,CC-J,11.18,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534858/CRR1534858_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534858/CRR1534858_r2.fq.gz
D3420,Zhaiyeqing4,modern cultivar,1999,indica,Guangdong,SC,13.87,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537079/CRR1537079_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537079/CRR1537079_r2.fq.gz
D1048,Yan8742,modern cultivar,1999,japonica,Jilin,NE,9.9,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534521/CRR1534521_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534521/CRR1534521_r2.fq.gz
D3536,DR2,modern cultivar,2000,indica,Zhejiang,CC-I,12.88,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537201/CRR1537201_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537201/CRR1537201_r2.fq.gz
D3434,Qingmazao,modern cultivar,2000,indica,Zhejiang,CC-I,13.63,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537094/CRR1537094_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537094/CRR1537094_r2.fq.gz
D1056,Changxuan6,modern cultivar,2001,japonica,Jilin,NE,11.3,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534530/CRR1534530_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534530/CRR1534530_r2.fq.gz
D3575,Erjiunan2,modern cultivar,2001,indica,Zhejiang,CC-I,12.28,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537242/CRR1537242_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537242/CRR1537242_r2.fq.gz
D3190,Fujiandao,modern cultivar,2001,indica,Fujian,SC,13.02,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536817/CRR1536817_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536817/CRR1536817_r2.fq.gz
D2034,Hongyou1,modern cultivar,2001,indica,Yunnan,SW-I,13.99,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535590/CRR1535590_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535590/CRR1535590_r2.fq.gz
D2033,Yunxian2,modern cultivar,2001,indica,Yunnan,SW-I,13.57,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535589/CRR1535589_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535589/CRR1535589_r2.fq.gz
D3187,Jinzao7,modern cultivar,2001,indica,Fujian,SC,11.28,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536813/CRR1536813_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536813/CRR1536813_r2.fq.gz
