Sample_ID	Split
1701	train
1702	train
1703	train
1704	train
1705	train
1706	train
1707	train
1708	train
1710	train
1711	train
1712	train
1713	train
1714	train
1715	train
1716	train
1717	train
1718	train
1719	train
1720	train
1721	train
1722	train
1723	train
1724	train
1725	train
1726	train
1727	train
1728	train
1729	train
1730	train
1731	train
1732	train
1733	train
1734	train
1735	train
1736	train
1738	train
1740	train
1741	train
1742	train
1743	train
1744	train
1745	train
1746	train
1747	train
1748	train
1749	train
1750	train
1751	train
1752	train
1753	train
1755	train
1756	train
1757	train
1758	train
1759	train
1761	train
1762	train
1763	train
1764	train
1765	train
1766	train
1767	train
1769	train
1770	train
1771	train
1772	train
1773	train
1774	train
1776	train
1777	train
1778	train
1779	train
1780	train
1781	train
1783	train
1784	train
1787	train
1788	train
1789	train
1790	train
1791	train
1792	train
1793	train
1794	train
1795	train
1796	train
1797	train
1798	train
1800	train
1802	train
1804	train
1805	train
1806	train
1808	train
1809	train
1810	train
1812	train
1813	train
EZ5	train
GS179	train
GS190	train
GS193	train
GS202	train
GS210	train
GS211	train
GS217	train
GS218	train
GS228	train
GS232	train
GS233	train
L1	train
L10	train
L11	train
L14	train
L16	train
L17	train
L18	train
L19	train
L2	train
L20	train
L21	train
L22	train
L23	train
L25	train
L26	train
L27	train
L29	train
L3	train
L6	train
L7	train
Y10	train
Y104	train
Y105	train
Y106	train
Y107	train
Y108	train
Y109	train
Y11	train
Y110	train
Y12	train
Y121	train
Y123	train
Y125	train
Y13	train
Y14	train
Y15	train
Y17	train
Y18	train
Y19	train
Y2	train
Y20	train
Y21	train
Y210	train
Y219	train
Y22	train
Y220	train
Y229	train
Y23	train
Y243	train
Y244	train
Y246	train
Y247	train
Y248	train
Y249	train
Y25	train
Y250	train
Y252	train
Y253	train
Y254	train
Y257	train
Y3	train
Y4	train
Y5	train
Y6	train
Y7	train
Y8	train
Y87	train
Y88	train
Y9	train
Y90	train
Y91	train
Y92	train
Y94	train
Y95	train
Y96	train
Y97	train
Y99	train
YCX334	train
YCX335	train
YCX336	train
YCX337	train
YCX339	train
YCX341	train
YCX342	train
YCX343	train
YCX344	train
YCX345	train
YCX348	train
YCX349	train
YCX350	train
YCX351	train
YCX352	train
YCX353	train
YCX354	train
YCX355	train
YCX356	train
YCX357	train
YCX358	train
YCX359	train
YCX361	train
YCX362	train
YCX363	train
YCX364	train
YCX365	train
YCX366	train
YCX368	train
YCX369	train
YCX370	train
YCX371	train
YCX373	train
YCX374	train
YCX375	train
YCX377	train
YCX378	train
YCX379	train
YCX382	train
YCX383	train
YCX384	train
YCX385	train
YCX386	train
YCX387	train
YCX388	train
YCX389	train
YCX390	train
YCX391	train
YCX392	train
YD12	train
wyj30	train
yangzhou_199_10	train
yangzhou_199_100	train
yangzhou_199_101	train
yangzhou_199_102	train
yangzhou_199_103	train
yangzhou_199_104	train
yangzhou_199_105	train
yangzhou_199_106	train
yangzhou_199_107	train
yangzhou_199_108	train
yangzhou_199_11	train
yangzhou_199_110	train
yangzhou_199_111	train
yangzhou_199_113	train
yangzhou_199_114	train
yangzhou_199_115	train
yangzhou_199_116	train
yangzhou_199_117	train
yangzhou_199_119	train
yangzhou_199_12	train
yangzhou_199_120	train
yangzhou_199_122	train
yangzhou_199_124	train
yangzhou_199_125	train
yangzhou_199_126	train
yangzhou_199_127	train
yangzhou_199_128	train
yangzhou_199_129	train
yangzhou_199_13	train
yangzhou_199_131	train
yangzhou_199_132	train
yangzhou_199_133	train
yangzhou_199_134	train
yangzhou_199_135	train
yangzhou_199_136	train
yangzhou_199_137	train
yangzhou_199_139	train
yangzhou_199_14	train
yangzhou_199_140	train
yangzhou_199_141	train
yangzhou_199_142	train
yangzhou_199_143	train
yangzhou_199_144	train
yangzhou_199_145	train
yangzhou_199_146	train
yangzhou_199_147	train
yangzhou_199_148	train
yangzhou_199_149	train
yangzhou_199_15	train
yangzhou_199_150	train
yangzhou_199_151	train
yangzhou_199_152	train
yangzhou_199_153	train
yangzhou_199_154	train
yangzhou_199_155	train
yangzhou_199_156	train
yangzhou_199_157	train
yangzhou_199_16	train
yangzhou_199_160	train
yangzhou_199_162	train
yangzhou_199_163	train
yangzhou_199_164	train
yangzhou_199_165	train
yangzhou_199_166	train
yangzhou_199_167	train
yangzhou_199_17	train
yangzhou_199_170	train
yangzhou_199_171	train
yangzhou_199_172	train
yangzhou_199_173	train
yangzhou_199_175	train
yangzhou_199_176	train
yangzhou_199_178	train
yangzhou_199_179	train
yangzhou_199_18	train
yangzhou_199_180	train
yangzhou_199_182	train
yangzhou_199_183	train
yangzhou_199_185	train
yangzhou_199_186	train
yangzhou_199_187	train
yangzhou_199_188	train
yangzhou_199_189	train
yangzhou_199_19	train
yangzhou_199_192	train
yangzhou_199_194	train
yangzhou_199_195	train
yangzhou_199_196	train
yangzhou_199_197	train
yangzhou_199_198	train
yangzhou_199_199	train
yangzhou_199_2	train
yangzhou_199_20	train
yangzhou_199_21	train
yangzhou_199_22	train
yangzhou_199_23	train
yangzhou_199_24	train
yangzhou_199_25	train
yangzhou_199_27	train
yangzhou_199_3	train
yangzhou_199_30	train
yangzhou_199_31	train
yangzhou_199_33	train
yangzhou_199_34	train
yangzhou_199_36	train
yangzhou_199_37	train
yangzhou_199_38	train
yangzhou_199_41	train
yangzhou_199_42	train
yangzhou_199_44	train
yangzhou_199_46	train
yangzhou_199_48	train
yangzhou_199_49	train
yangzhou_199_5	train
yangzhou_199_50	train
yangzhou_199_51	train
yangzhou_199_52	train
yangzhou_199_53	train
yangzhou_199_54	train
yangzhou_199_55	train
yangzhou_199_57	train
yangzhou_199_58	train
yangzhou_199_59	train
yangzhou_199_6	train
yangzhou_199_61	train
yangzhou_199_65	train
yangzhou_199_66	train
yangzhou_199_67	train
yangzhou_199_68	train
yangzhou_199_69	train
yangzhou_199_7	train
yangzhou_199_70	train
yangzhou_199_72	train
yangzhou_199_74	train
yangzhou_199_75	train
yangzhou_199_76	train
yangzhou_199_78	train
yangzhou_199_79	train
yangzhou_199_8	train
yangzhou_199_80	train
yangzhou_199_81	train
yangzhou_199_82	train
yangzhou_199_84	train
yangzhou_199_85	train
yangzhou_199_86	train
yangzhou_199_88	train
yangzhou_199_89	train
yangzhou_199_9	train
yangzhou_199_90	train
yangzhou_199_92	train
yangzhou_199_93	train
yangzhou_199_94	train
yangzhou_199_95	train
yangzhou_199_97	train
yangzhou_199_99	train
yangzhou_226_1	train
yangzhou_226_10	train
yangzhou_226_101	train
yangzhou_226_102	train
yangzhou_226_103	train
yangzhou_226_104	train
yangzhou_226_106	train
yangzhou_226_107	train
yangzhou_226_108	train
yangzhou_226_109	train
yangzhou_226_11	train
yangzhou_226_110	train
yangzhou_226_111	train
yangzhou_226_113	train
yangzhou_226_114	train
yangzhou_226_118	train
yangzhou_226_12	train
yangzhou_226_122	train
yangzhou_226_123	train
yangzhou_226_125	train
yangzhou_226_126	train
yangzhou_226_127	train
yangzhou_226_128	train
yangzhou_226_13	train
yangzhou_226_130	train
yangzhou_226_131	train
yangzhou_226_132	train
yangzhou_226_133	train
yangzhou_226_134	train
yangzhou_226_135	train
yangzhou_226_136	train
yangzhou_226_137	train
yangzhou_226_138	train
yangzhou_226_139	train
yangzhou_226_14	train
yangzhou_226_140	train
yangzhou_226_143	train
yangzhou_226_144	train
yangzhou_226_147	train
yangzhou_226_149	train
yangzhou_226_15	train
yangzhou_226_150	train
yangzhou_226_151	train
yangzhou_226_152	train
yangzhou_226_153	train
yangzhou_226_156	train
yangzhou_226_157	train
yangzhou_226_158	train
yangzhou_226_16	train
yangzhou_226_160	train
yangzhou_226_161	train
yangzhou_226_162	train
yangzhou_226_164	train
yangzhou_226_165	train
yangzhou_226_166	train
yangzhou_226_167	train
yangzhou_226_168	train
yangzhou_226_169	train
yangzhou_226_170	train
yangzhou_226_171	train
yangzhou_226_172	train
yangzhou_226_173	train
yangzhou_226_174	train
yangzhou_226_175	train
yangzhou_226_176	train
yangzhou_226_177	train
yangzhou_226_178	train
yangzhou_226_18	train
yangzhou_226_180	train
yangzhou_226_182	train
yangzhou_226_183	train
yangzhou_226_184	train
yangzhou_226_185	train
yangzhou_226_186	train
yangzhou_226_187	train
yangzhou_226_189	train
yangzhou_226_190	train
yangzhou_226_191	train
yangzhou_226_192	train
yangzhou_226_193	train
yangzhou_226_194	train
yangzhou_226_196	train
yangzhou_226_197	train
yangzhou_226_198	train
yangzhou_226_199	train
yangzhou_226_2	train
yangzhou_226_20	train
yangzhou_226_200	train
yangzhou_226_201	train
yangzhou_226_202	train
yangzhou_226_203	train
yangzhou_226_204	train
yangzhou_226_206	train
yangzhou_226_207	train
yangzhou_226_208	train
yangzhou_226_209	train
yangzhou_226_210	train
yangzhou_226_212	train
yangzhou_226_213	train
yangzhou_226_215	train
yangzhou_226_216	train
yangzhou_226_217	train
yangzhou_226_22	train
yangzhou_226_220	train
yangzhou_226_221	train
yangzhou_226_222	train
yangzhou_226_223	train
yangzhou_226_224	train
yangzhou_226_225	train
yangzhou_226_226	train
yangzhou_226_23	train
yangzhou_226_24	train
yangzhou_226_27	train
yangzhou_226_29	train
yangzhou_226_30	train
yangzhou_226_31	train
yangzhou_226_32	train
yangzhou_226_33	train
yangzhou_226_34	train
yangzhou_226_36	train
yangzhou_226_37	train
yangzhou_226_38	train
yangzhou_226_39	train
yangzhou_226_40	train
yangzhou_226_43	train
yangzhou_226_44	train
yangzhou_226_45	train
yangzhou_226_46	train
yangzhou_226_47	train
yangzhou_226_48	train
yangzhou_226_49	train
yangzhou_226_53	train
yangzhou_226_54	train
yangzhou_226_55	train
yangzhou_226_56	train
yangzhou_226_57	train
yangzhou_226_58	train
yangzhou_226_59	train
yangzhou_226_6	train
yangzhou_226_61	train
yangzhou_226_63	train
yangzhou_226_64	train
yangzhou_226_66	train
yangzhou_226_7	train
yangzhou_226_70	train
yangzhou_226_71	train
yangzhou_226_72	train
yangzhou_226_73	train
yangzhou_226_74	train
yangzhou_226_77	train
yangzhou_226_78	train
yangzhou_226_8	train
yangzhou_226_80	train
yangzhou_226_81	train
yangzhou_226_82	train
yangzhou_226_83	train
yangzhou_226_84	train
yangzhou_226_85	train
yangzhou_226_86	train
yangzhou_226_87	train
yangzhou_226_88	train
yangzhou_226_89	train
yangzhou_226_90	train
yangzhou_226_92	train
yangzhou_226_93	train
yangzhou_226_94	train
yangzhou_226_95	train
yangzhou_226_96	train
yangzhou_226_97	train
yangzhou_226_98	train
yangzhou_226_99	train
1709	valid
1737	valid
1739	valid
1754	valid
1760	valid
1768	valid
1775	valid
1811	valid
GS208	valid
GS209	valid
GS212	valid
GS230	valid
GS234	valid
GS235	valid
L13	valid
L15	valid
L24	valid
L28	valid
L4	valid
L5	valid
L8	valid
L9	valid
Y1	valid
Y114	valid
Y131	valid
Y24	valid
Y245	valid
Y251	valid
Y255	valid
Y256	valid
Y42	valid
Y86	valid
YCX333	valid
YCX338	valid
YCX340	valid
YCX346	valid
YCX347	valid
YCX360	valid
YCX367	valid
YCX372	valid
YCX376	valid
YCX380	valid
YCX381	valid
YCX393	valid
yangzhou_199_1	valid
yangzhou_199_109	valid
yangzhou_199_112	valid
yangzhou_199_118	valid
yangzhou_199_121	valid
yangzhou_199_123	valid
yangzhou_199_130	valid
yangzhou_199_138	valid
yangzhou_199_158	valid
yangzhou_199_159	valid
yangzhou_199_161	valid
yangzhou_199_168	valid
yangzhou_199_169	valid
yangzhou_199_174	valid
yangzhou_199_177	valid
yangzhou_199_181	valid
yangzhou_199_184	valid
yangzhou_199_190	valid
yangzhou_199_191	valid
yangzhou_199_193	valid
yangzhou_199_26	valid
yangzhou_199_28	valid
yangzhou_199_29	valid
yangzhou_199_32	valid
yangzhou_199_35	valid
yangzhou_199_39	valid
yangzhou_199_4	valid
yangzhou_199_40	valid
yangzhou_199_43	valid
yangzhou_199_45	valid
yangzhou_199_47	valid
yangzhou_199_56	valid
yangzhou_199_60	valid
yangzhou_199_62	valid
yangzhou_199_63	valid
yangzhou_199_64	valid
yangzhou_199_71	valid
yangzhou_199_73	valid
yangzhou_199_77	valid
yangzhou_199_83	valid
yangzhou_199_87	valid
yangzhou_199_91	valid
yangzhou_199_96	valid
yangzhou_199_98	valid
yangzhou_226_100	valid
yangzhou_226_105	valid
yangzhou_226_112	valid
yangzhou_226_115	valid
yangzhou_226_116	valid
yangzhou_226_117	valid
yangzhou_226_119	valid
yangzhou_226_120	valid
yangzhou_226_121	valid
yangzhou_226_124	valid
yangzhou_226_129	valid
yangzhou_226_141	valid
yangzhou_226_142	valid
yangzhou_226_145	valid
yangzhou_226_146	valid
yangzhou_226_148	valid
yangzhou_226_154	valid
yangzhou_226_155	valid
yangzhou_226_159	valid
yangzhou_226_163	valid
yangzhou_226_17	valid
yangzhou_226_179	valid
yangzhou_226_188	valid
yangzhou_226_19	valid
yangzhou_226_195	valid
yangzhou_226_205	valid
yangzhou_226_21	valid
yangzhou_226_211	valid
yangzhou_226_214	valid
yangzhou_226_218	valid
yangzhou_226_219	valid
yangzhou_226_25	valid
yangzhou_226_26	valid
yangzhou_226_28	valid
yangzhou_226_3	valid
yangzhou_226_35	valid
yangzhou_226_4	valid
yangzhou_226_41	valid
yangzhou_226_42	valid
yangzhou_226_5	valid
yangzhou_226_50	valid
yangzhou_226_51	valid
yangzhou_226_60	valid
yangzhou_226_62	valid
yangzhou_226_65	valid
yangzhou_226_67	valid
yangzhou_226_68	valid
yangzhou_226_69	valid
yangzhou_226_75	valid
yangzhou_226_76	valid
yangzhou_226_79	valid
yangzhou_226_9	valid
yangzhou_226_91	valid
