Chr	Start	End	Value	Color
1	1	100000	3360	1f78b4
1	100001	200000	2600	1f78b4
1	200001	300000	3515	1f78b4
1	300001	400000	2536	1f78b4
1	400001	500000	4840	1f78b4
1	500001	600000	4072	1f78b4
1	600001	700000	5004	1f78b4
1	700001	800000	3984	1f78b4
1	800001	900000	7354	1f78b4
1	900001	1000000	9907	1f78b4
1	1000001	1100000	3590	1f78b4
1	1100001	1200000	3746	1f78b4
1	1200001	1300000	3930	1f78b4
1	1300001	1400000	5832	1f78b4
1	1400001	1500000	3553	1f78b4
1	1500001	1600000	2126	1f78b4
1	1600001	1700000	3498	1f78b4
1	1700001	1800000	3436	1f78b4
1	1800001	1900000	10193	1f78b4
1	1900001	2000000	10460	1f78b4
1	2000001	2100000	6730	1f78b4
1	2100001	2200000	4552	1f78b4
1	2200001	2300000	2844	1f78b4
1	2300001	2400000	5920	1f78b4
1	2400001	2500000	2930	1f78b4
1	2500001	2600000	5119	1f78b4
1	2600001	2700000	9872	1f78b4
1	2700001	2800000	3874	1f78b4
1	2800001	2900000	8897	1f78b4
1	2900001	3000000	3018	1f78b4
1	3000001	3100000	2635	1f78b4
1	3100001	3200000	4385	1f78b4
1	3200001	3300000	14433	1f78b4
1	3300001	3400000	5279	1f78b4
1	3400001	3500000	3128	1f78b4
1	3500001	3600000	2451	1f78b4
1	3600001	3700000	2020	1f78b4
1	3700001	3800000	9614	1f78b4
1	3800001	3900000	4537	1f78b4
1	3900001	4000000	2409	1f78b4
1	4000001	4100000	1953	1f78b4
1	4100001	4200000	2217	1f78b4
1	4200001	4300000	2672	1f78b4
1	4300001	4400000	2094	1f78b4
1	4400001	4500000	1861	1f78b4
1	4500001	4600000	3917	1f78b4
1	4600001	4700000	3529	1f78b4
1	4700001	4800000	2782	1f78b4
1	4800001	4900000	2047	1f78b4
1	4900001	5000000	2537	1f78b4
1	5000001	5100000	2238	1f78b4
1	5100001	5200000	16618	1f78b4
1	5200001	5300000	1844	1f78b4
1	5300001	5400000	2499	1f78b4
1	5400001	5500000	7334	1f78b4
1	5500001	5600000	2310	1f78b4
1	5600001	5700000	6279	1f78b4
1	5700001	5800000	3497	1f78b4
